age,income,expenses,savings,debt,credit_score,impulse_purchases,num_bank_accounts,financial_goal,time_horizon_months,budget_score,investment_score,loan_knowledge_score,risk_score,literacy_level,recommended_monthly,save_rate,debt_to_income,expense_ratio
39,73221,52629,15855,39974,657,3,3,Investing,12,69,50,22,37,1,14165,0.217,0.546,0.719
44,68247,42211,10439,39611,756,1,2,Emergency Fund,6,40,56,0,23,0,27757,0.153,0.58,0.618
52,41270,36372,4320,14402,772,1,1,Investing,36,36,48,92,69,1,5288,0.105,0.349,0.881
18,12364,10409,445,766,539,4,1,Investing,36,75,59,78,0,2,5393,0.036,0.062,0.842
52,8790,5337,1370,3023,635,5,1,Investing,6,41,58,92,90,1,28375,0.156,0.344,0.607
54,45086,38025,2110,16167,711,3,1,Debt Repayment,36,44,13,50,45,0,500,0.047,0.359,0.843
31,25964,14087,4957,12294,617,1,2,Debt Repayment,12,12,44,71,52,1,500,0.191,0.473,0.543
20,5656,2478,1157,163,736,0,3,Emergency Fund,36,78,52,26,29,1,500,0.205,0.029,0.438
18,8412,3697,1220,2353,486,6,1,Investing,36,86,52,58,66,1,5372,0.145,0.28,0.439
22,30600,21340,1664,16942,662,4,2,Short Term Savings,6,53,80,50,32,1,6905,0.054,0.554,0.697
43,43898,26366,8822,26109,685,5,1,Investing,12,58,55,57,57,1,14706,0.201,0.595,0.601
31,68114,47364,6184,7821,558,0,1,Emergency Fund,60,69,46,49,71,1,3248,0.091,0.115,0.695
44,49684,35357,3538,25952,714,2,1,Investing,6,73,66,75,75,2,28066,0.071,0.522,0.712
26,32371,10144,4150,2840,568,1,1,Investing,36,58,67,26,62,1,5293,0.128,0.088,0.313
32,47598,15822,11052,24022,779,1,1,Investing,60,48,46,39,42,1,3097,0.232,0.505,0.332
32,45811,28384,4049,7621,624,0,3,Investing,36,56,77,51,100,1,5295,0.088,0.166,0.62
43,54790,22717,12507,31546,637,1,2,Emergency Fund,36,52,49,69,34,1,4104,0.228,0.576,0.415
30,39201,26637,1267,16358,567,1,1,Debt Repayment,12,64,32,63,53,1,531,0.032,0.417,0.679
49,60723,38335,2380,14541,621,1,1,Debt Repayment,60,38,68,82,6,1,500,0.039,0.239,0.631
49,56489,36800,10205,9523,593,1,1,Debt Repayment,36,83,27,93,41,1,500,0.181,0.169,0.651
21,41654,20055,2659,5879,674,3,1,Emergency Fund,12,99,81,67,40,2,9407,0.064,0.141,0.481
47,37615,25725,3491,15364,670,4,1,Investing,36,45,33,56,43,1,5311,0.093,0.408,0.684
54,58394,46580,2999,31385,642,1,1,Debt Repayment,36,44,20,21,36,0,500,0.051,0.537,0.798
40,25730,23127,2480,11654,663,2,1,Investing,36,42,25,11,54,0,5338,0.096,0.453,0.899
32,9867,7923,833,4942,562,2,2,Emergency Fund,6,50,64,13,82,1,4109,0.084,0.501,0.803
46,9754,6188,1846,4572,567,1,3,Short Term Savings,60,94,28,24,3,1,789,0.189,0.469,0.634
53,24072,10015,4368,14142,746,2,1,Investing,6,48,25,65,98,1,27947,0.181,0.587,0.416
30,53193,37706,12746,24185,590,2,2,Investing,36,62,35,15,61,0,5060,0.24,0.455,0.709
49,31544,27209,5886,3978,673,2,1,Emergency Fund,6,50,0,84,56,1,12678,0.187,0.126,0.863
24,44090,18831,7927,20940,465,0,2,Investing,12,18,76,50,29,1,14774,0.18,0.475,0.427
39,30094,13650,5406,5815,684,3,1,Short Term Savings,6,48,8,20,66,0,6370,0.18,0.193,0.454
45,30252,11780,6748,18074,742,1,1,Short Term Savings,6,59,73,89,42,2,6178,0.223,0.597,0.389
19,19490,14462,1717,4404,659,4,1,Debt Repayment,36,90,74,82,75,2,500,0.088,0.226,0.742
23,38162,20757,3397,6704,663,1,1,Debt Repayment,12,24,59,73,78,1,500,0.089,0.176,0.544
45,36496,12321,6951,5238,775,5,3,Emergency Fund,6,78,45,52,41,1,14648,0.19,0.144,0.338
45,48253,39807,3503,19065,672,3,1,Short Term Savings,60,64,42,65,28,1,762,0.073,0.395,0.825
37,45753,29034,10512,2998,595,0,1,Debt Repayment,12,57,85,5,29,1,500,0.23,0.066,0.635
47,36057,17980,5156,20629,614,0,1,Short Term Savings,36,39,100,33,44,1,1212,0.143,0.572,0.499
28,9878,5002,879,1744,601,3,2,Debt Repayment,60,84,0,35,70,0,500,0.089,0.177,0.506
45,61411,29118,12190,10884,727,2,2,Emergency Fund,60,66,63,5,47,1,2820,0.198,0.177,0.474
42,38299,21956,3517,1058,753,7,3,Debt Repayment,36,59,37,46,8,1,500,0.092,0.028,0.573
50,41592,20888,10046,6139,735,2,2,Debt Repayment,6,57,99,56,10,2,500,0.242,0.148,0.502
18,72009,45276,17720,18102,591,3,1,Debt Repayment,36,78,51,27,49,1,500,0.246,0.251,0.629
44,58164,44443,10083,12898,655,1,1,Investing,6,42,27,44,64,0,27131,0.173,0.222,0.764
30,48928,34478,2257,8014,706,1,1,Debt Repayment,12,88,23,37,33,1,500,0.046,0.164,0.705
20,39953,19044,3217,976,556,4,2,Emergency Fund,60,100,43,18,15,1,1912,0.081,0.024,0.477
23,39767,24545,5509,7171,722,0,2,Investing,6,53,0,64,73,0,27784,0.139,0.18,0.617
25,44802,36024,9669,20922,718,5,2,Emergency Fund,36,85,16,73,0,1,3371,0.216,0.467,0.804
44,48138,16411,3009,12673,698,2,1,Emergency Fund,12,48,8,70,77,1,10877,0.063,0.263,0.341
26,74228,25755,3266,12950,715,0,1,Debt Repayment,6,37,0,49,80,0,500,0.044,0.174,0.347
54,89465,56694,3321,16360,643,3,2,Emergency Fund,12,48,61,25,79,1,20390,0.037,0.183,0.634
50,45805,31306,6257,15237,583,6,2,Investing,12,68,63,40,64,1,14903,0.137,0.333,0.683
41,5000,2134,1117,906,743,2,2,Debt Repayment,60,55,67,70,65,1,500,0.223,0.181,0.427
32,20965,15663,623,7934,653,2,1,Investing,36,67,18,58,72,1,5388,0.03,0.378,0.747
49,76229,52427,5247,45255,608,4,1,Emergency Fund,12,65,56,21,64,1,17187,0.069,0.594,0.688
49,54373,46433,9757,1343,660,1,2,Short Term Savings,6,51,44,53,20,1,5749,0.179,0.025,0.854
41,48520,19474,10186,4912,659,0,1,Investing,12,35,18,49,51,0,14601,0.21,0.101,0.401
29,36663,27527,7541,3939,612,3,2,Emergency Fund,60,59,34,41,30,1,1679,0.206,0.107,0.751
19,16219,5679,3252,4350,693,3,1,Investing,12,32,11,50,68,0,15134,0.2,0.268,0.35
20,73555,47014,3667,1827,803,2,1,Short Term Savings,12,61,0,28,45,0,3564,0.05,0.025,0.639
54,23535,14853,2620,6743,550,2,1,Debt Repayment,12,66,23,73,21,1,500,0.111,0.286,0.631
34,54586,29096,13454,30423,552,2,2,Investing,12,13,29,56,81,0,14349,0.246,0.557,0.533
19,13985,11282,3460,97,748,2,1,Emergency Fund,12,85,65,76,100,2,2961,0.247,0.007,0.807
19,35693,10801,5659,7815,713,2,2,Short Term Savings,6,53,27,15,29,0,6334,0.159,0.219,0.303
45,59859,36640,10962,27327,783,1,1,Short Term Savings,60,70,70,51,26,1,639,0.183,0.457,0.612
40,35006,15062,8359,3244,801,2,1,Debt Repayment,6,46,73,94,18,2,500,0.239,0.093,0.43
54,32631,24345,4029,1518,711,3,2,Investing,36,51,49,33,5,1,5296,0.123,0.047,0.746
49,40212,13102,2070,15218,558,1,2,Emergency Fund,12,91,33,76,60,1,9120,0.051,0.378,0.326
50,13279,10609,2308,79,678,4,2,Short Term Savings,60,32,19,53,57,0,781,0.174,0.006,0.799
18,9517,7640,2291,4578,622,2,1,Short Term Savings,12,49,23,77,28,1,3669,0.241,0.481,0.803
36,54284,43411,9790,2177,690,2,1,Emergency Fund,6,60,62,37,58,1,21866,0.18,0.04,0.8
19,31555,12355,6461,9927,591,1,1,Emergency Fund,36,10,65,83,21,1,2383,0.205,0.315,0.392
43,54129,36712,6345,24037,694,1,1,Debt Repayment,60,41,36,64,67,1,500,0.117,0.444,0.678
49,62363,19246,2630,9055,708,3,1,Debt Repayment,6,76,49,26,80,1,500,0.042,0.145,0.309
23,63972,51739,3764,3974,673,3,3,Debt Repayment,12,34,7,71,62,0,500,0.059,0.062,0.809
49,7579,5561,1864,798,685,0,1,Debt Repayment,36,63,31,78,57,1,500,0.246,0.105,0.734
21,26043,16112,3474,13355,710,1,2,Short Term Savings,6,66,54,82,43,1,6646,0.133,0.513,0.619
28,50751,37472,1155,21491,591,0,1,Emergency Fund,12,70,28,17,67,0,11622,0.023,0.423,0.738
34,51060,18207,12240,6068,676,1,2,Short Term Savings,6,38,14,55,100,0,5394,0.24,0.119,0.357
55,84988,52454,11429,36517,645,1,2,Emergency Fund,36,63,22,100,54,1,6582,0.134,0.43,0.617
41,21847,10372,4639,9288,741,1,1,Emergency Fund,60,36,8,58,34,0,998,0.212,0.425,0.475
22,63363,55985,9260,37931,714,2,2,Short Term Savings,12,54,18,0,36,0,3133,0.146,0.599,0.884
51,47445,38633,2058,11146,605,2,2,Short Term Savings,6,77,65,65,48,1,6848,0.043,0.235,0.814
23,7195,5324,1162,3733,707,4,2,Debt Repayment,36,42,80,73,70,1,500,0.161,0.519,0.74
39,29043,24984,7243,7779,762,1,1,Short Term Savings,60,70,87,84,81,2,700,0.249,0.268,0.86
28,45250,22991,1266,24374,683,3,2,Emergency Fund,36,58,39,34,55,1,3634,0.028,0.539,0.508
33,5912,4969,1262,324,625,1,1,Debt Repayment,12,75,41,16,58,1,500,0.213,0.055,0.84
50,5000,2475,370,525,564,2,1,Investing,12,20,63,79,42,1,15356,0.074,0.105,0.495
26,5000,3698,552,2549,492,2,1,Emergency Fund,12,83,13,47,56,1,1111,0.11,0.51,0.739
23,45182,33518,4776,22210,739,2,1,Debt Repayment,6,23,24,44,48,0,904,0.106,0.492,0.742
33,30306,9425,6871,5553,541,1,1,Debt Repayment,36,35,27,28,52,0,500,0.227,0.183,0.311
46,27600,14259,3754,9882,568,0,1,Debt Repayment,60,82,79,56,31,2,500,0.136,0.358,0.517
20,28287,8815,3475,6495,658,4,1,Short Term Savings,60,58,32,33,36,1,762,0.123,0.23,0.312
37,11517,10345,2397,71,675,2,1,Short Term Savings,36,51,75,9,71,1,1286,0.208,0.006,0.898
53,30871,11524,964,483,767,1,1,Short Term Savings,60,78,27,32,15,1,803,0.031,0.016,0.373
36,5000,3128,199,162,679,4,1,Investing,36,57,18,32,56,0,5400,0.04,0.032,0.625
43,63752,49365,1593,22723,628,1,3,Investing,36,40,87,8,66,1,5362,0.025,0.356,0.774
20,73846,31071,13162,12371,628,2,1,Debt Repayment,6,84,49,44,34,1,500,0.178,0.168,0.421
36,5000,2955,704,431,528,0,2,Investing,6,65,27,22,22,0,28470,0.141,0.086,0.591
37,30617,20343,6781,17288,765,0,1,Investing,60,34,2,43,17,0,3167,0.221,0.565,0.664
49,31919,12643,4298,2323,720,0,2,Emergency Fund,12,44,30,61,50,1,7035,0.135,0.073,0.396
24,36510,28008,2592,14764,672,4,1,Short Term Savings,36,39,90,64,75,1,1281,0.071,0.404,0.767
50,60030,28790,12317,32205,764,2,1,Emergency Fund,12,36,35,11,71,0,12905,0.205,0.536,0.48
35,30675,13086,2690,3015,736,3,3,Emergency Fund,36,57,0,73,100,1,2414,0.088,0.098,0.427
18,38234,24277,8992,4925,693,4,2,Investing,12,58,34,92,68,1,14692,0.235,0.129,0.635
28,99581,54389,7727,34284,647,2,1,Debt Repayment,60,68,64,62,27,1,500,0.078,0.344,0.546
45,37774,32189,2212,11523,653,3,2,Debt Repayment,36,71,38,90,24,1,500,0.059,0.305,0.852
42,75324,62371,10053,23547,531,1,2,Emergency Fund,12,76,59,60,53,1,16609,0.133,0.313,0.828
40,50039,29523,1582,16653,735,1,1,Emergency Fund,36,80,55,48,17,1,4014,0.032,0.333,0.59
48,28925,14912,820,16485,634,3,3,Emergency Fund,60,69,38,37,17,1,1409,0.028,0.57,0.516
47,25585,12672,3430,826,735,6,1,Investing,36,67,26,67,32,1,5312,0.134,0.032,0.495
52,39854,18354,2768,18184,708,2,3,Emergency Fund,12,79,31,17,51,1,8984,0.069,0.456,0.461
24,17470,10948,386,2437,658,5,2,Short Term Savings,6,68,33,65,34,1,7087,0.022,0.139,0.627
33,22722,17791,2001,5094,717,2,1,Emergency Fund,36,40,5,90,54,1,1788,0.088,0.224,0.783
43,31538,15341,4093,1689,587,3,2,Emergency Fund,60,32,56,62,40,1,1483,0.13,0.054,0.486
19,45866,18991,5076,12263,532,3,2,Emergency Fund,60,39,27,3,6,0,2172,0.111,0.267,0.414
18,76519,44785,3914,36922,637,1,2,Short Term Savings,36,66,72,41,80,1,1245,0.051,0.483,0.585
29,30300,10345,4645,1795,685,2,2,Investing,12,53,77,72,76,1,15027,0.153,0.059,0.341
22,49230,35483,9027,8140,718,3,1,Short Term Savings,36,64,34,40,92,1,1107,0.183,0.165,0.721
54,7442,4547,1305,1665,657,2,1,Short Term Savings,36,54,44,67,68,1,1316,0.175,0.224,0.611
49,61205,36589,6767,3815,577,1,2,Short Term Savings,36,41,31,14,50,0,1168,0.111,0.062,0.598
26,5566,2673,287,2545,754,0,2,Debt Repayment,60,8,6,0,43,0,500,0.052,0.457,0.48
52,55967,47169,7548,26425,621,2,1,Emergency Fund,12,35,30,50,76,0,12334,0.135,0.472,0.843
36,38381,13598,8628,19249,680,2,2,Short Term Savings,36,94,44,0,48,1,1118,0.225,0.502,0.354
33,37586,30891,4803,13167,690,2,3,Investing,36,79,58,80,63,2,5275,0.128,0.35,0.822
20,33994,17881,2209,10345,655,6,2,Emergency Fund,60,45,90,31,34,1,1635,0.065,0.304,0.526
37,13974,11575,578,2201,494,1,1,Debt Repayment,6,49,29,58,60,1,500,0.041,0.157,0.828
41,15034,11083,3564,5909,596,2,1,Debt Repayment,12,49,23,81,67,1,500,0.237,0.393,0.737
50,56730,20564,10829,15132,687,4,3,Debt Repayment,12,81,67,51,61,1,500,0.191,0.267,0.362
41,40238,32147,3701,23437,775,2,2,Debt Repayment,60,78,0,29,45,0,500,0.092,0.582,0.799
28,33848,24008,2976,19662,704,2,1,Debt Repayment,12,79,19,32,42,1,527,0.088,0.581,0.709
25,48867,15607,11039,26540,688,1,3,Emergency Fund,12,39,73,57,71,1,10427,0.226,0.543,0.319
53,42026,15979,2556,9079,490,4,1,Debt Repayment,36,95,21,28,59,1,500,0.061,0.216,0.38
55,24141,16449,3453,5329,734,1,1,Emergency Fund,12,54,31,45,48,1,5305,0.143,0.221,0.681
37,89219,62235,16425,45644,723,0,1,Short Term Savings,12,76,44,51,73,1,2582,0.184,0.512,0.698
52,54815,41001,6093,23980,695,3,3,Debt Repayment,6,65,61,40,25,1,842,0.111,0.437,0.748
42,42541,31146,1241,17978,671,2,1,Debt Repayment,12,25,43,0,14,0,596,0.029,0.423,0.732
52,29727,20681,2151,4987,690,0,1,Investing,36,49,43,56,91,1,5347,0.072,0.168,0.696
42,59055,44866,13430,29528,748,2,1,Emergency Fund,36,59,36,63,7,1,4425,0.227,0.5,0.76
46,24248,15641,3402,8429,645,4,2,Emergency Fund,6,43,37,26,78,0,9906,0.14,0.348,0.645
35,22564,10299,4683,6049,680,1,1,Debt Repayment,60,30,23,58,73,0,500,0.208,0.268,0.456
35,73866,62595,10917,38355,625,1,1,Investing,12,50,19,37,73,0,14544,0.148,0.519,0.847
19,40613,12627,9626,9606,651,0,2,Investing,60,86,76,6,62,1,3120,0.237,0.237,0.311
52,24733,12859,5666,9704,659,2,1,Short Term Savings,60,71,28,35,57,1,726,0.229,0.392,0.52
33,40113,29576,5257,11213,699,1,2,Investing,6,48,39,5,42,0,27820,0.131,0.28,0.737
53,57003,31710,5312,20272,610,2,3,Emergency Fund,60,64,68,54,76,1,2716,0.093,0.356,0.556
50,52425,16508,8303,1275,640,3,3,Short Term Savings,6,32,0,68,40,0,5956,0.158,0.024,0.315
21,59485,20200,10423,16457,676,4,1,Debt Repayment,12,59,7,100,10,1,500,0.175,0.277,0.34
50,15008,10343,2020,5011,639,4,1,Investing,6,21,44,84,37,1,28282,0.135,0.334,0.689
31,58982,51840,12334,17436,662,5,1,Debt Repayment,6,36,44,80,37,1,500,0.209,0.296,0.879
38,36418,22984,2263,18516,554,3,2,Debt Repayment,6,75,5,6,66,0,999,0.062,0.508,0.631
37,41782,25238,4049,7799,694,0,1,Short Term Savings,6,47,0,57,58,0,6564,0.097,0.187,0.604
25,64189,31516,11417,34048,601,2,1,Short Term Savings,36,50,7,61,5,0,1042,0.178,0.53,0.491
24,54054,24541,4147,13085,539,2,2,Investing,12,57,52,37,0,1,15065,0.077,0.242,0.454
20,47021,14698,5697,19594,673,1,3,Emergency Fund,6,90,64,12,59,1,19338,0.121,0.417,0.313
34,5000,2318,1208,260,677,2,1,Investing,12,0,49,60,16,0,15291,0.242,0.052,0.464
50,39089,22259,6408,4694,684,4,1,Short Term Savings,6,41,0,3,61,0,6227,0.164,0.12,0.569
29,24306,10178,5791,11100,686,3,2,Emergency Fund,6,100,12,41,30,1,9589,0.238,0.457,0.419
39,54220,19107,10093,401,683,0,1,Debt Repayment,36,82,39,63,18,1,500,0.186,0.007,0.352
39,59819,43705,11166,34761,767,2,1,Emergency Fund,6,69,44,58,100,1,24041,0.187,0.581,0.731
